x [ft],Axial [lbf],Shear [lbf],Moment [lbf.ft],Deflection [m]
0.087,0,-8.652,-0.374,-0.0
0.087,0,-8.682,-0.377,-0.0
0.087,0,-8.711,-0.379,-0.0
0.087,0,-8.741,-0.382,-0.0
0.088,0,-8.771,-0.385,-0.0
0.088,0,-8.8,-0.387,-0.0
0.088,0,-8.83,-0.39,-0.0
0.089,0,-8.86,-0.392,-0.0
0.089,0,-8.889,-0.395,-0.0
0.089,0,-8.919,-0.398,-0.0
0.089,0,-8.948,-0.4,-0.0
0.09,0,-8.978,-0.403,-0.0
0.09,0,-9.008,-0.406,-0.0
0.09,0,-9.037,-0.408,-0.0
0.091,0,-9.067,-0.411,-0.0
0.091,0,-9.097,-0.414,-0.0
0.091,0,-9.126,-0.416,-0.0
0.092,0,-9.156,-0.419,-0.0
0.092,0,-9.186,-0.422,-0.0
0.092,0,-9.215,-0.425,-0.0
0.092,0,-9.245,-0.427,-0.0
0.093,0,-9.274,-0.43,-0.0
0.093,0,-9.304,-0.433,-0.0
0.093,0,-9.334,-0.436,-0.0
0.094,0,-9.363,-0.438,-0.0
0.094,0,-9.393,-0.441,-0.0
0.094,0,-9.423,-0.444,-0.0
0.095,0,-9.452,-0.447,-0.0
0.095,0,-9.482,-0.45,-0.0
0.095,0,-9.511,-0.452,-0.0
0.095,0,-9.541,-0.455,-0.0
0.096,0,-9.571,-0.458,-0.0
0.096,0,-9.6,-0.461,-0.0
0.096,0,-9.63,-0.464,-0.0
0.097,0,-9.66,-0.467,-0.0
0.097,0,-9.689,-0.469,-0.0
0.097,0,-9.719,-0.472,-0.0
0.097,0,-9.749,-0.475,-0.0
0.098,0,-9.778,-0.478,-0.0
0.098,0,-9.808,-0.481,-0.0
0.098,0,-9.837,-0.484,-0.0
0.099,0,-9.867,-0.487,-0.0
0.099,0,-9.897,-0.49,-0.0
0.099,0,-9.926,-0.493,-0.0
0.1,0,-9.956,-0.496,-0.0
0.1,0,-9.986,-0.499,-0.0
0.1,0,-10.015,-0.502,-0.0
0.1,0,-10.045,-0.504,-0.0
0.101,0,-10.074,-0.507,-0.0
0.101,0,-10.104,-0.51,-0.0
0.101,0,-10.134,-0.513,-0.0
0.102,0,-10.163,-0.516,-0.0
0.102,0,-10.193,-0.519,-0.0
0.102,0,-10.223,-0.523,-0.0
0.103,0,-10.252,-0.526,-0.0
0.103,0,-10.282,-0.529,-0.0
0.103,0,-10.311,-0.532,-0.0
0.103,0,-10.341,-0.535,-0.0
0.104,0,-10.371,-0.538,-0.0
0.104,0,-10.4,-0.541,-0.0
0.104,0,-10.43,-0.544,-0.0
0.105,0,-10.46,-0.547,-0.0
0.105,0,-10.489,-0.55,-0.0
0.105,0,-10.519,-0.553,-0.0
0.105,0,-10.549,-0.556,-0.0
0.106,0,-10.578,-0.559,-0.0
0.106,0,-10.608,-0.563,-0.0
0.106,0,-10.637,-0.566,-0.0
0.107,0,-10.667,-0.569,-0.0
0.107,0,-10.697,-0.572,-0.0
0.107,0,-10.726,-0.575,-0.0
0.108,0,-10.756,-0.578,-0.0
0.108,0,-10.786,-0.582,-0.0
0.108,0,-10.815,-0.585,-0.0
0.108,0,-10.845,-0.588,-0.0
0.109,0,-10.874,-0.591,-0.0
0.109,0,-10.904,-0.594,-0.0
0.109,0,-10.934,-0.598,-0.0
0.11,0,-10.963,-0.601,-0.0
0.11,0,-10.993,-0.604,-0.0
0.11,0,-11.023,-0.607,-0.0
0.111,0,-11.052,-0.611,-0.0
0.111,0,-11.082,-0.614,-0.0
0.111,0,-11.112,-0.617,-0.0
0.111,0,-11.141,-0.621,-0.0
0.112,0,-11.171,-0.624,-0.0
0.112,0,-11.2,-0.627,-0.0
0.112,0,-11.23,-0.631,-0.0
0.113,0,-11.26,-0.634,-0.0
0.113,0,-11.289,-0.637,-0.0
0.113,0,-11.319,-0.641,-0.0
0.113,0,-11.349,-0.644,-0.0
0.114,0,-11.378,-0.647,-0.0
0.114,0,-11.408,-0.651,-0.0
0.114,0,-11.437,-0.654,-0.0
0.115,0,-11.467,-0.657,-0.0
0.115,0,-11.497,-0.661,-0.0
